POSTALCODE,COUNTRY,STATE,ACI_AIRPORT,ACI_ZONE
99530,US,AK,ANC,A
99529,US,AK,ANC,A
99540,US,AK,ANC,A
99599,US,AK,ANC,A
99654,US,AK,ANC,E
99521,US,AK,ANC,A
99508,US,AK,ANC,A
99506,US,AK,ANC,A
99702,US,AK,FAI,D
99901,US,AK,KTN,A
99577,US,AK,ANC,D
99824,US,AK,JNU,A
99574,US,AK,CDV,A
99574,US,AK,CDV,A
99701,US,AK,FAI,A
99574,US,AK,CDV,A
99524,US,AK,ANC,A
99709,US,AK,FAI,A
99522,US,AK,ANC,A
99701,US,AK,FAI,A
99520,US,AK,ANC,A
99519,US,AK,ANC,A
99518,US,AK,ANC,A
99517,US,AK,ANC,A
99516,US,AK,ANC,A
99515,US,AK,ANC,A
99514,US,AK,ANC,A
99513,US,AK,ANC,A
99511,US,AK,ANC,A
99510,US,AK,ANC,A
99509,US,AK,ANC,A
99523,US,AK,ANC,A
99901,US,AK,KTN,A
99929,US,AK,WRG,A
99929,US,AK,WRG,A
99694,US,AK,ANC,E
99687,US,AK,ANC,E
99652,US,AK,ANC,F
99835,US,AK,SIT,A
99835,US,AK,SIT,A
99833,US,AK,PSG,A
99833,US,AK,PSG,A
99645,US,AK,ANC,E
99705,US,AK,FAI,C
99725,US,AK,FAI,D
99901,US,AK,KTN,A
99652,US,AK,ANC,F
99824,US,AK,JNU,A
99801,US,AK,JNU,A
99801,US,AK,JNU,A
99694,US,AK,ANC,F
99703,US,AK,FAI,B
99505,US,AK,ANC,A
99775,US,AK,FAI,B
99709,US,AK,FAI,C
99705,US,AK,FAI,C
99703,US,AK,FAI,B
99702,US,AK,FAI,D
99901,US,AK,KTN,A
99505,US,AK,ANC,C
99507,US,AK,ANC,A
99506,US,AK,ANC,B
99504,US,AK,ANC,A
99503,US,AK,ANC,A
99502,US,AK,ANC,A
99501,US,AK,ANC,A
99502,US,AK,ANC,A
99567,US,AK,ANC,E
36140,US,AL,MGM,B
36141,US,AL,MGM,B
36141,US,AL,MGM,B
36140,US,AL,MGM,B
36135,US,AL,MGM,B
36115,US,AL,MGM,B
36177,US,AL,MGM,B
36177,US,AL,MGM,B
36177,US,AL,MGM,B
36191,US,AL,MGM,B
36132,US,AL,MGM,B
36133,US,AL,MGM,B
36134,US,AL,MGM,B
36133,US,AL,MGM,B
36579,US,AL,MOB,D
36135,US,AL,MGM,B
36135,US,AL,MGM,B
36134,US,AL,MGM,B
36132,US,AL,MGM,B
36132,US,AL,MGM,B
36133,US,AL,MGM,B
36134,US,AL,MGM,B
36141,US,AL,MGM,B
36675,US,AL,MOB,B
36504,US,AL,MOB,L
36503,US,AL,MOB,L
36502,US,AL,MOB,L
36441,US,AL,MOB,L
36542,US,AL,MOB,F
36427,US,AL,MOB,L
36426,US,AL,MOB,L
36511,US,AL,MOB,F
36562,US,AL,MOB,F
36131,US,AL,MGM,B
36561,US,AL,MOB,E
36140,US,AL,MGM,B
36671,US,AL,MOB,B
36670,US,AL,MOB,A
36575,US,AL,MOB,C
36663,US,AL,MOB,B
36644,US,AL,MOB,B
36577,US,AL,MOB,C
36142,US,AL,MGM,B
36142,US,AL,MGM,B
36330,US,AL,MGM,D
36549,US,AL,MOB,F
36110,US,AL,MGM,A
36116,US,AL,MGM,B
36115,US,AL,MGM,B
36118,US,AL,MGM,B
36115,US,AL,MGM,B
36118,US,AL,MGM,B
36118,US,AL,MGM,B
36352,US,AL,MGM,E
36130,US,AL,MGM,B
36142,US,AL,MGM,B
36130,US,AL,MGM,B
36115,US,AL,MGM,B
36117,US,AL,MGM,B
36119,US,AL,MGM,B
36110,US,AL,MGM,A
36111,US,AL,MGM,A
36112,US,AL,MGM,A
36113,US,AL,MGM,B
36114,US,AL,MGM,B
36114,US,AL,MGM,B
36114,US,AL,MGM,B
36301,US,AL,DHN,A
36301,US,AL,DHN,A
36301,US,AL,DHN,A
36301,US,AL,DHN,A
36130,US,AL,MGM,B
36131,US,AL,MGM,B
36107,US,AL,MGM,A
36082,US,AL,MGM,D
36082,US,AL,MGM,D
36105,US,AL,MGM,A
36191,US,AL,MGM,B
36108,US,AL,MGM,A
36305,US,AL,MGM,E
36106,US,AL,MGM,B
36303,US,AL,MGM,E
36108,US,AL,MGM,A
36301,US,AL,MGM,E
36301,US,AL,MGM,E
36301,US,AL,MGM,E
36301,US,AL,MGM,E
36305,US,AL,MGM,E
36617,US,AL,MOB,A
36322,US,AL,MGM,D
36619,US,AL,MOB,C
36118,US,AL,MGM,B
36109,US,AL,MGM,B
36067,US,AL,MGM,C
36131,US,AL,MGM,B
36104,US,AL,MGM,A
36066,US,AL,MGM,C
35739,US,AL,HSV,D
35057,US,AL,BHM,E
35022,US,AL,BHM,D
35022,US,AL,BHM,D
36502,US,AL,PNS,F
36503,US,AL,PNS,F
36504,US,AL,PNS,F
36502,US,AL,PNS,F
35613,US,AL,HSV,B
35058,US,AL,BHM,E
35957,US,AL,HSV,E
35016,US,AL,HSV,D
35950,US,AL,HSV,E
36427,US,AL,PNS,F
36426,US,AL,PNS,F
35951,US,AL,HSV,E
36426,US,AL,PNS,F
36207,US,AL,BHM,E
35741,US,AL,HSV,C
35115,US,AL,ATL,Y
35007,US,AL,ATL,Y
35645,US,AL,ATL,Y
35754,US,AL,ATL,Y
35094,US,AL,ATL,Y
35646,US,AL,ATL,Y
35575,US,AL,ATL,Y
35758,US,AL,ATL,Y
35186,US,AL,ATL,Y
35228,US,AL,ATL,Y
36265,US,AL,ATL,Y
35649,US,AL,ATL,Y
35650,US,AL,ATL,Y
35223,US,AL,ATL,Y
35118,US,AL,ATL,Y
36268,US,AL,ATL,Y
35661,US,AL,ATL,Y
35760,US,AL,ATL,Y
35759,US,AL,ATL,Y
