company,abbrev
AMERICA,AMER
LLC,LLC
LLC,LLC
TECHNOLOGIES,TECH
ENTERPRISE,ENT
NORTH AMERICA,NA
WORLD TRADE CENTER,WTC
ACCOUNT,ACCT
ADDRESS,ADDR
ADMINISTRATION, ADMIN
ALABAMA,AL
ALASKA,AK
AMERICA,AMER
AMERICAN,AMER
AMERICAN SAMOA,AS
ARCHITECTUAL,ARCH
ARIZONA,AZ
ARKANSAS,AR
ASSOCIATES,ASSOC
BEVERAGES,BEV
BOOKSTORE,BKST
CALIFORNIA,CA
CENTER,CTR
CENTER,CTR
COLORADO,CO
COMMUNICATION,COMM
COMMUNICATIONS,COMM
COMMUNICATIONS,COMM
"COMMUNICATIONS, ",COMM
COMMUNITIES,COMM
"COMPANIES",CO
COMPANY,CO
COMPANIES,CO
CONFERENCE,CONF
CONNECTICUT,CT
CONSTRUCTION,CONSTR
CONV.CENTER,CONV CTR
CONVENTION,CONV
CONVENTION,CONV
CORP,CORP
CORP.,CORP
CORPORATE,CORP
CORPORATION,CORP
COUNTRY,CTRY
CTR.,CTR
DECORATING,DEC
DELAWARE,DE
DISTRIBUTING,DIST
DISTRIBUTION,DIST
DISTRICT OF COLUMBIA,DC
ELECTRONICS,ELEC
ENGINEERING,ENG
ENTERPRISE,ENT
EQUIPMENT,EQUIP
EXHIBITS,EXH
EXPOSITION,EXPO
EXPRESS,EXP
FEDERATED STATES OF MICRONESIA,FM
FESTIVAL,FEST
FLORIDA,FL
FREIGHT,FRT
GENERAL,GEN
GEORGIA,GA
GUAM,GU
HAWAII,HI
HEADQUARTERS,HQ
HOSPITAL,HOSP
HOTEL,HTL
IDAHO,ID
ILLINOIS,IL
INC,INC
INC.,INC    
INDIANA,IN
INDUSTRIES,IND
INNOVATIONS,INNOV
INSTITUTE,INST
INSTITUTES,INST
INTERNATIONAL,INTL
IOWA,IA
KANSAS,KS
KENTUCKY,KY
LABORATORIES,LABS
LIMITED,LTD
LLC,LLC
LLC.,LLC
LLC.,LLC
LOGISTICS,LOG
LOUISIANA,LA
LTD,LTD
LTD.,LTD
MACHINE,MACH
MACHINERY,MACH
MACHINING,MACH
MAINE,ME
MANAGEMENT,MGMT
MANUFACTURING,MANU
MANUFACTURING,MANU
MARKETING,MKTG
MARSHALL ISLANDS,MH
MARYLAND,MD
MASSACHUSETTS,MASS
MASSACHUSETTS,MA
MEDICAL,MED
MEMORIAL,MEM
MICHIGAN,MI
MINNESOTA,MN
MISSISSIPPI,MS
MISSOURI,MO
MONTANA,MT
MOTEL,MTL
NATIONAL,NATL
NEBRASKA,NE
NEVADA,NV
NEW HAMPSHIRE,NH
NEW JERSEY,NJ
NEW MEXICO,NM
NEW YORK,NY
NORTH AMERICAN,NA
NORTH CAROLINA,NC
NORTH DAKOTA,ND
NORTHERN MARIANA ISLANDS,MP
NUTRITIONAL,NUTRI
NUTRITIONALS,NUTRI
OHIO,OH
OKLAHOMA,OK
OREGON,OR
PACKAGING,PACK
PALAU,PW
PENNSYLVANIA,PA
PHARMA,PHARM
PHARMACEUTICALS,PHARM
PRODUCTION,PROD
PRODUCTIONS,PROD
PRODUCTIONS,PROD
PRODUCTS,PROD
PUERTO RICO,PR
REGIONAL,REG
RHODE ISLAND,RI
SERVICE,SVC
SERVICES,SVCS
"SERVICES,",SRVCS
SOUTH CAROLINA,SC
SOUTH DAKOTA,SD
STATION,STAT
SURGICAL,SURG
SYSTEMS,SYS
SYSTEM,SYS
TECHNICAL,TECH
TECHNOLOGIES,TECH
TECNOLOGIES,TECH
TECHNOLOGY,TECH
TENNESSEE,TN
TEXAS,TX
TRANSPORTATION,TRANS
TRUCKING,TRKG
UNIVERSITY,UNIV
UTAH,UT
VERMONT,VT
VIRGIN ISLANDS,VI
VIRGINIA,VA
WAREHOU,WHSE
WAREHOUSE,WHSE
WASHINGTON,WA
WEST VIRGINIA,WV
WHSE.,WHSE
WISCONSIN,WI
WORLDWIDE,WW
WYOMING,WY 
ADVANCED,ADV
PERFORMANCE,PERF
ENTERPRISES,ENT
MAINTENANCE,MAINT
INSTRUMENT,INSTR
FREIGHT,FRT
UNLIMITED,UNL
INDUSTRIAL,IND
AMERICA,AMER
ASSOCIATION,ASSC
COMPANIES,CO
LABORATORY,LABS
WAREHOUSES,WHSE
GMBH,GMBH
LTDA, LTD
