Org,Brand,Plant,BP
A17SAT,AGE,1111,11111111
B14BOS,ADC,1114,50000613
B15YYZ,ADC,1115,50000614
B20DEN,ADC,1120,50000615
B22JAX,ADC,1122,50001157
B23SFO,ADC,1123,50000616
B25PHL,ADC,1125,50000907
B26LAX,ADC,1126,50000617
B29MFE,ADC,1129,50000618
B31FLL,ADC,1131,50000619
B35DCA,ADC,1135,50000620
B36SJC,ADC,1136,50000621
B38SLC,ADC,1138,50000622
B39TUL,ADC,1139,50000623
B40PIT,ADC,1140,50000624
B43CLE,ADC,1143,50000625
B44MCI,ADC,1144,50000982
B46JFK,ADC,1146,50000626
B52TPA,ADC,1152,50000627
B53BDL,ADC,1153,50000628
B55MCO,ADC,1155,50000629
B58SAT,ADC,1158,50000630
B72SAN,ADC,1172,50000631
B74YVR,ADC,1174,50001057
B76SMF,ADC,1176,50000632
B81LAX,ADC,1181,50000748
B82SNA,ADC,1182,50000633
B83PIT,ADC,1183,50000634
B92ATL,ADC,1192,50000635
B93CLT,ADC,1193,50000636
B94CVG,ADC,1194,50000637
B95GSP,ADC,1195,50001657
B98MIA,ADC,1198,50000750
A62MCO,AGE,1062,50001018
A77LAX,AGE,1077,50000611
AGEOMA,AGE,1087,50000679
ATL,AGE,1054,50000612
BUR,AGE,1012,50000640
BWI,AGE,1078,50000639
CHS,AGE,1024,50000642
CLT,AGE,1032,50000643
CMH,AGE,1069,50000644
CVG,AGE,1045,50000645
DEN,AGE,1089,50000664
DFW,AGE,1051,50000665
EUG,AGE,1021,50000666
IAH,AGE,1033,50000668
ICT,AGE,1034,50000669
IND,AGE,1073,50000670
LAS,AGE,1016,50000671
MCO,AGE,1066,50000672
MDT,AGE,1071,50000673
MHT,AGE,1065,50000674
MIAAGE,AGE,1030,50000675
A57TPA,AGE,1111,50000000
MKE,AGE,1068,50000676
MSP,AGE,1042,50000677
OGG,AGE,1048,50000678
OMI,AGE,1022,50000680
ORD,AGE,1088,50000681
PHL,AGE,1025,50000682
PHX,AGE,1028,50000683
RJM,AGE,1084,50000701
RNO,AGE,1086,50000703
SAN,AGE,1013,50000738
SJC,AGE,1067,50000739
SJU,AGE,1018,50000740
STL,AGE,1085,50000741
TPA,AGE,1057,50000742
TUL,AGE,1056,50000743
TUS,AGE,1099,50000744
YVR,AGE,1074,50000745
D10SEA,DBA,1210,50000646
D14BOS,DBA,1214,50000647
D20DEN,DBA,1220,50000648
D25PHL,DBA,1225,50000649
D27FLL,DBA,1227,50000650
D28PHX,DBA,1228,50000651
D32CLT,DBA,1232,50000652
D33IAH,DBA,1233,50000654
D38SLC,DBA,1238,50000655
D42MSP,DBA,1242,50000656
D44MCI,DBA,1244,50000657
D50ORD,DBA,1250,50000658
D53BDL,DBA,1253,50000659
D54ATL,DBA,1254,50000660
D77LAX,DBA,1277,50000661
D78BWI,DBA,1278,50000662
D79OMA,DBA,1279,50000663
D95GSP,DBA,1295,50001335
D96IAH,DBA,1296,50000962
A63,RGL,2063,50000610
A87RLP,RGL,1287,50000746
BFI,RGL,2061,50000638
C61BFI,RGL,2064,50000641
EXO,RGL,0008,50000667
R09LAR,RGL,2009,50000684
R17LRD,RGL,2017,50000685
R18VIN,RGL,2018,50000909
R20AVI,RGL,2020,50001607
R25PHL,RGL,2025,50000686
R28PHX,RGL,2028,50000687
R29MFE,RGL,2029,50001834
R35DCA,RGL,2035,50001207
R40PIT,RGL,2040,50001208
R41EWR,RGL,2041,50000932
R42MSP,RGL,2042,50000688
R45CVG,RGL,2045,50000689
R46JFK,RGL,2046,50000690
R47MEM,RGL,2047,50000691
R48HUB,RGL,2048,50000751
R49MSP,RGL,2049,50000692
R50ORD,RGL,2050,50000693
R57LAX,RGL,2057,50001307
R59EWR,RGL,2059,50000958
R60EWR,RGL,2060,50000694
R61BFI,RGL,2062,50000695
R70PDX,RGL,2070,50000696
R71MDT,RGL,2071,50001783
R81LAX,RGL,2081,50000697
R92ATL,RGL,2092,50000698
R93CLT,RGL,2093,50000699
R95GSP,RGL,2095,50000700
RGL,RGL,0210,50000607
RLPMSP,RGL,1049,50000702
R83MEX,RGL,1111,11111111
S13SAN,SBA,1413,50000704
S14BOS,SBA,1414,50000705
S15YYZ,SBA,1415,50000706
S16LAS,SBA,1416,50000707
S17LRD,SBA,1417,50000708
S18SJU,SBA,1418,50000710
S19ORF,SBA,1419,50000709
S20DIA,SBA,1420,50000711
S25PHL,SBA,1425,50000712
S27FLL,SBA,1427,50001532
S28PHX,SBA,1428,50000713
S29DAL,SBA,1429,50000714
S30MIA,SBA,1430,50000715
S31FLL,SBA,1431,50000747
S33IAH,SBA,1433,50000716
S37GRR,SBA,1437,50000717
S38SLC,SBA,1438,50000718
S42MSP,SBA,1442,50000719
S43CLE,SBA,1443,50000721
S47MEM,SBA,1447,50000720
S48HNL,SBA,1448,50000722
S50ORD,SBA,1450,50000723
S51DFW,SBA,1451,50000724
S53BDL,SBA,1453,50000725
S54ATL,SBA,1454,50000726
S55MCO,SBA,1455,50001932
S57TPA,SBA,1457,50000727
S60EWR,SBA,1460,50000728
S62MOB,SBA,1462,50000729
S63DTW,SBA,1463,50000731
S64ELP,SBA,1464,50000730
S66MCO,SBA,1466,50000732
S70PDX,SBA,1470,50000733
S72HPN,SBA,1472,50000734
S74YVR,SBA,1474,50000735
S80GSO,SBA,1480,50000736
S81LAX,SBA,1481,50001132
S85STL,SBA,1485,50000737
S88GSO,SBA,1488,50001482
