state,abbrev
Alabama,AL
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
Florida,FL
Georgia,GA
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nebraska,NE
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
American Samoa,AS
District of Columbia,DC
Federated States of Micronesia,FM
Guam,GU
Marshall Islands,MH
Northern Mariana Islands,MP
Palau,PW
Puerto Rico,PR
Virgin Islands,VI
Armed Forces Africa,AE
Armed Forces Americas,AA
Armed Forces Canada,AE
Armed Forces Europe,AE
Armed Forces Middle East,AE
Armed Forces Pacific,AP
Alberta,AB
British Columbia,BC
Manitoba,MB
New Brunswick,NB
Newfoundland and Labrador,NL
Nova Scotia,NS
Northwest Territories,NT
Nunavut,NU
Ontario,ON
Prince Edward Island,PE
Quebec,QC
Saskatchewan,SK
Yukon,YT
Yucatan,YUC
Tamaulipas,TAM
Ontario,ON
Quebec,QC
Coahuila,COA
Jalisco,JAL
Estado de Mexico,EMX
Veracruz,VER
Guanajuato,GTO
Nuevo Leon,NL
San Luis Potosi,SLP
Queretaro,QRO
Chihuahua,CHH
Michoacan,MIC
Morelos,MOR
Coahuila de Zaragoza,COA
Toluca,TOL
Guangdong,GD
Toulouse,TLS
Nicaragua,NIC
El Salvador,ESA
Milan,MIL
Toulouse,TLS
Antwerp,ANT
British Columbia,BC
Mexico,MEX
Tamaulipas,TAM
Coahuila,COA
Torino,TOR
Nuevo Leon,NL
