Full_Org,BP
B14BOS,50000613
B15YYZ,50000614
B20DEN,50000615
B22JAX,50001157
B23SFO,50000616
B25PHL,50000907
B26LAX,50000617
B29MFE,50000618
B31FLL,50000619
B35DCA,50000620
B36SJC,50000621
B38SLC,50000622
B39TUL,50000623
B40PIT,50000624
B43CLE,50000625
B44MCI,50000982
B46JFK,50000626
B52TPA,50000627
B53BDL,50000628
B55MCO,50000629
B58SAT,50000630
B72SAN,50000631
B74YVR,50001057
B76SMF,50000632
B81LAX,50000748
B82SNA,50000633
B83PIT,50000634
B92ATL,50000635
B93CLT,50000636
B94CVG,50000637
B95GSP,50001657
B98MIA,50000750
A62MCO,50001018
A77LAX,50000611
AGEOMA,50000679
AGEATL,50000612
AGEBUR,50000640
AGEBWI,50000639
AGECHS,50000642
AGECLT,50000643
AGECMH,50000644
AGECVG,50000645
AGEDEN,50000664
AGEDFW,50000665
AGEEUG,50000666
AGEIAH,50000668
AGEICT,50000669
AGEIND,50000670
AGELAS,50000671
AGEMCO,50000672
AGEMDT,50000673
AGEMHT,50000674
MIAAGE,50000675
AGEMKE,50000676
AGEMSP,50000677
AGEOGG,50000678
AGEOMI,50000680
AGEORD,50000681
AGEPHL,50000682
AGEPHX,50000683
AGERJM,50000701
AGERNO,50000703
AGESAN,50000738
AGESJC,50000739
AGESJU,50000740
AGESTL,50000741
AGETPA,50000742
AGETUL,50000743
AGETUS,50000744
AGEYVR,50000745
D10SEA,50000646
D14BOS,50000647
D20DEN,50000648
D25PHL,50000649
D27FLL,50000650
D28PHX,50000651
D32CLT,50000652
D33IAH,50000654
D38SLC,50000655
D42MSP,50000656
D44MCI,50000657
D50ORD,50000658
D53BDL,50000659
D54ATL,50000660
D77LAX,50000661
D78BWI,50000662
D79OMA,50000663
D95GSP,50001335
D96IAH,50000962
RGLA63,50000610
A87RLP,50000746
RGLBFI,50000638
C61BFI,50000641
RGLEXO,50000667
R09LAR,50000684
R17LRD,50000685
R18VIN,50000909
R20AVI,50001607
R25PHL,50000686
R28PHX,50000687
R29MFE,50001834
R35DCA,50001207
R40PIT,50001208
R41EWR,50000932
R42MSP,50000688
R45CVG,50000689
R46JFK,50000690
R47MEM,50000691
R48HUB,50000751
R49MSP,50000692
R50ORD,50000693
R57LAX,50001307
R59EWR,50000958
R60EWR,50000694
R61BFI,50000695
R70PDX,50000696
R71MDT,50001783
R81LAX,50000697
R92ATL,50000698
R93CLT,50000699
R95GSP,50000700
RGLRGL,50000607
RLPMSP,50000702
R83MEX,11111111
S13SAN,50000704
S14BOS,50000705
S15YYZ,50000706
S16LAS,50000707
S17LRD,50000708
S18SJU,50000710
S19ORF,50000709
S20DIA,50000711
S25PHL,50000712
S27FLL,50001532
S28PHX,50000713
S29DAL,50000714
S30MIA,50000715
S31FLL,50000747
S33IAH,50000716
S37GRR,50000717
S38SLC,50000718
S42MSP,50000719
S43CLE,50000721
S47MEM,50000720
S48HNL,50000722
S50ORD,50000723
S51DFW,50000724
S53BDL,50000725
S54ATL,50000726
S55MCO,50001932
S57TPA,50000727
S60EWR,50000728
S62MOB,50000729
S63DTW,50000731
S64ELP,50000730
S66MCO,50000732
S70PDX,50000733
S72HPN,50000734
S74YVR,50000735
S80GSO,50000736
S81LAX,50001132
S85STL,50000737
S88GSO,50001482
