BUSINESS_PARTNER,CREATE_LOCATION,BPGROUP,SEARCH_TERM1,SEARCH_TERM2,TITLE,NAME1,NAME2,NAME3,CITY,POSTALCODE,STREET1,STREET2,STREET3,COUNTRY,LANGUAGE,STATE,PHONE,FAX,EMAIL,TIMEZONE,WEBSITE,USERID,SCAC,TSA,TWIC,SW,RLP,CWID,IATA,TAXNUM,SHIPPERKNOWNSTATUS,KNOWNSHIPPERCODE,EXPIRATIONDATE,KNOWNFROMDATE,PICKUPHRSFROM,PICKUPHRSTO,DELIVERHRSFROM,DELIVERHRSTO,COMPANYCODE,COMPANYCODEREF,STATIONPO,STATIONSO,ACCOUNTWITHVENDOR,ACCOUNTWITHCUSTOMER,PAYMENTTERMS,COMMUNICATION_METHOD,CARR_TYPE,EVENT_TYPES,ACI_AIRPORT,ACI_ZONE,SPECIALINSTRUCTIONS,PDETERMINATION,IDTYPE,IDNUMBER,RELATIONSHIPCATEGORY,STANDARDRELATIONSHIP,PARTNERDETROLECODE,REVERSERELATIONSHIP,CARRIER,CUSTOMER,CONTACTPERSON,SALESREP,FIRMS,OVERSEASAGENT,CUSTOMBROKER,CUSTOMOFFICE,RELATIONSHIP (HAS INV PARTY),LookupSalesRep,LookupSalesCode,CWID_Merge,StationCodeIDMerge,BPID,Name1_Abbv,ACI_airport,ACIzone,LookupAP,LookupZone,state,TimezoneLookup
,X,TCUS,CREATION TECH C/O RL JONES CHB,,0003,CREATION TECHNOLOGIES C/O RL JONES CHB,,,CALEXICO,92231,1778 ZINETTA ROAD SUITE F,,,US,E,CA,(619) 661-8182,,,,,,,,,,,C537043,,,US,,,,080000,170000,080000,170000,,,,,,,NT15,,,,SAN,Y,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C537043,A17SAT,,CREATION TECHNOLOGIES C/O RL JONES CHB,SAN,Y,,,CA,
,X,TCUS,POLYMER MOLDING,,0003,POLYMER MOLDING INC,,,ERIE,16502,1655 WEST 20TH STREET,,,US,E,PA,(800)344-7584,,,,,,,,,,,C538191,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C538191,A17SAT,,Polymer Molding Inc,,,,,PA,
,X,TCUS,TEQ FRANK FALCONERI,,0003,TEQ FRANK FALCONERI,,,HUNTINGTON STATION,11746,7 NORDEN LANE,x1182,,US,E,NY,(877) 455-9369 ,,,,,,,,,,,C537538,,,US,,,,,,,,,,,,,,NT15,,,,LGA,D,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C537538,,,TEQ FRANK FALCONERI,LGA,D,,,NY,
,X,TCUS,LARC IND,,0003,LARC INDUSTRIES,,,UMAN,97390,CARRETERA UMAN DZIBIKAK TABLAJE 4997,( ctc Joe),,MX,E,Yucatan,+52 999 949 9513 ,,,,,,,,,,,C513667,,,US,,,,080000,160000,080000,160000,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C513667,A17SAT,,LARC INDUSTRIES,,,,,Yucatan,
,X,TCUS,TICONA C/O VERST GROUP,,0003,TICONA C/O VERST GROUP,,,FLORENCE,41042,WAREHOUSE&DISTRIBUTION,1100 BURLINGTON PIKE,,US,E,KY,,,,,,,,,,,,C554885,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C554885,A17SAT,,Ticona c/o Verst Group,,,,,KY,
,X,TCUS,PEYTON’S NORTH,,0003,PEYTON’S NORTH,,,BLUFFTON,46714,1111 SOUTH ADAMS STREET,1111 South Adams Stree,,US,E,IN,,,,,,,,,,,,C541008,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C541008,A17SAT,,Peyton’s North,,,,,IN,
,X,TCUS,IEWC- EL PASO,,0003,IEWC- EL PASO,,,EL PASO,79936,FIDEL JARAMILLO,11801 MIRIAM DR,,US,E,TX,,,,,,,,,,,,C452507,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C452507,,,IEWC- EL PASO,,,,,TX,
,X,TCUS,CIT RELAY & SWITCH,,0003,CIT RELAY & SWITCH,,,ROGERS,55374,DIVISION OF CIRCUIT INTERRUPTION TECH INC,14680 James Road,,US,E,MN,,,,,,,,,,,,C547538,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C547538,A17SAT,,CIT RELAY & SWITCH,,,,,MN,
,X,TCUS,WOODLAND DIST CTR,,0003,WOODLAND DISTRIBUTION CENTER,,,WOODLAND,95776,DBA WOODLAND DIST CENTER,1755 East Beamer Street,,US,E,CA,,,,,,,,,,,,C536650,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C536650,A17SAT,,Woodland Distribution Center,,,,,CA,
,X,TCUS,RITE AID DCRL WOODLAND DIST CTR,,0003,RITE AID DCRL WOODLAND DIST CTR,,,WOODLAND,95776,DBA WOODLAND DIST CENTER,1755 East Beamer Street,,US,E,CA,,,,,,,,,,,,C538569,,,US,,,,,,,,,,,,,,NT15,,,,,,,,,,CRMH04,,10,X,,X,,,,,,,,A17SAT HOUSE ACCOUNT,A17-S999,C538569,A17SAT,,RITE AID DCRL WOODLAND DIST CTR,,,,,CA,
